VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EA3L,King,Seattle,WA,98125.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,57772,46.0,124517347,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102.0
5YJSA1DNXD,Thurston,Olympia,WA,98506.0,2013,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,22.0,475076241,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010300.0
5YJ3E1EB8J,Snohomish,Mill Creek,WA,98012.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,178725,44.0,475227392,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008.0
5YJSA1H2XE,Snohomish,Arlington,WA,98223.0,2014,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,39.0,193175517,POINT (-122.11597 48.194109),PUGET SOUND ENERGY INC,53061052701.0
5YJ3E1EA2L,Kitsap,Port Orchard,WA,98366.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,49991,26.0,6249078,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092600.0
5YJYGDEEXL,King,Renton,WA,98055.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,155011,11.0,124565731,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805.0
5YJXCAE28J,King,Auburn,WA,98092.0,2018,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,179073,47.0,149766508,POINT (-122.1550193 47.2884536),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031207.0
5YJSA1E24H,Snohomish,Bothell,WA,98012.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,73062,44.0,266967277,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052005.0
5YJ3E1EA3J,King,Seattle,WA,98115.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,63701,46.0,283964453,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200.0
5YJXCBE29G,Kitsap,Poulsbo,WA,98370.0,2016,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,54552,23.0,6406879,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100.0
1G1FY6S08K,Thurston,Tumwater,WA,98512.0,2019,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,139021,22.0,251184825,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910.0
5YJSA1E23G,Snohomish,Snohomish,WA,98290.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,120611,44.0,348785223,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052502.0
5YJSA1E28H,Thurston,Olympia,WA,98502.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,82123,22.0,211899019,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067012002.0
5YJ3E1EB7K,Stevens,Colville,WA,99114.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,141513,7.0,278862286,POINT (-117.885418 48.541035),AVISTA CORP,53065950300.0
5YJ3E1EC3L,Thurston,Yelm,WA,98597.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,308.0,106661,2.0,254928768,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012531.0
5YJXCAE20G,King,Seatac,WA,98168.0,2016,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,86391,33.0,219998173,POINT (-122.297205 47.486649),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300.0
5YJ3E1EB6K,King,Seattle,WA,98108.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,181474,11.0,232690629,POINT (-122.3173531 47.5484673),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402.0
5YJ3E1EB2L,Chelan,Wenatchee,WA,98801.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,172251,12.0,128897450,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007960700.0
5YJSA1E41J,Thurston,Olympia,WA,98502.0,2018,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,249.0,124551,22.0,193795542,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011100.0
5YJ3E1EA4K,Kitsap,Silverdale,WA,98383.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,45924,23.0,148566358,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091201.0
5YJXCBE26G,Yakima,Selah,WA,98942.0,2016,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,79628,15.0,122670621,POINT (-120.5517376 46.6678647),PACIFICORP,53077003100.0
5YJ3E1EB1J,King,Auburn,WA,98001.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,67297,47.0,476632054,POINT (-122.2651204 47.3164638),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902.0
5YJXCDE27L,King,Kirkland,WA,98033.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,289.0,65108,48.0,3626507,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702.0
5YJYGDEE6L,Snohomish,Mill Creek,WA,98012.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,143575,44.0,112428550,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008.0
5YJ3E1EA3J,Snohomish,Bothell,WA,98021.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,108320,1.0,136972083,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937.0
5YJ3E1EB7J,Thurston,Olympia,WA,98512.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,127053,22.0,474261763,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000.0
5YJSA1E29L,Kitsap,Hansville,WA,98340.0,2020,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,330.0,46070,23.0,102895040,POINT (-122.5638082 47.8995458),PUGET SOUND ENERGY INC,53035090101.0
5YJXCDE20L,Thurston,Olympia,WA,98501.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,289.0,114317,22.0,131357390,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010400.0
5YJ3E1EA6K,Thurston,Olympia,WA,98502.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,163579,35.0,478146763,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902.0
5YJ3E1EA9L,Thurston,Lacey,WA,98503.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,49463,22.0,208467983,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011421.0
5YJYGDEE5L,Snohomish,Everett,WA,98201.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,118165,38.0,110764804,POINT (-122.2032447 47.9845088),PUGET SOUND ENERGY INC,53061040900.0
5YJYGDEE6L,Thurston,Olympia,WA,98502.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,81756,22.0,124741795,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520.0
5YJ3E1EB9K,Yakima,Yakima,WA,98908.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,140159,14.0,156862744,POINT (-120.611068 46.596645),PACIFICORP,53077002804.0
